"","SampleID","ITS_ID","sample_name","Replicate","Site","Site_Grass","Site.Rep","Grass","Grass_Rep","Edge","SiteName","MAT_degC","MAP_mm","CollectionDate","Latitude","Longitude","Elevation_m","Grassland","Gradient","Bin","julianday","coll_GDD","GDD30yr","GDD3yr","GDD2015","ppt30yr","ppt3yr","ppt2015","soil_moisture","GWC","perc_moisture","pH","phos","ammonium","nitrate","SOM","herbivory_perc","avg_SLA","avg_SRL"
"X1351_1949","X1351_1949","SRR13801399","BLM_BOGR_10",10,"BLM","BLM_BOGR","BLM.10","BOGR","BOGR_10","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642
"X1351_1950","X1351_1950","SRR13801186","BLM_BOGR_11",11,"BLM","BLM_BOGR","BLM.11","BOGR","BOGR_11","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642
"X1351_1951","X1351_1951","SRR13801171","BLM_BOGR_12",12,"BLM","BLM_BOGR","BLM.12","BOGR","BOGR_12","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642
"X1351_1940","X1351_1940","SRR13801400","BLM_BOGR_1",1,"BLM","BLM_BOGR","BLM.1","BOGR","BOGR_1","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642
"X1351_1941","X1351_1941","SRR13801525","BLM_BOGR_2",2,"BLM","BLM_BOGR","BLM.2","BOGR","BOGR_2","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642
"X1351_1942","X1351_1942","SRR13800997","BLM_BOGR_3",3,"BLM","BLM_BOGR","BLM.3","BOGR","BOGR_3","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642
"X1351_1943","X1351_1943","SRR13801246","BLM_BOGR_4",4,"BLM","BLM_BOGR","BLM.4","BOGR","BOGR_4","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642
"X1351_1944","X1351_1944","SRR13801475","BLM_BOGR_5",5,"BLM","BLM_BOGR","BLM.5","BOGR","BOGR_5","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642
"X1351_1945","X1351_1945","SRR13801023","BLM_BOGR_6",6,"BLM","BLM_BOGR","BLM.6","BOGR","BOGR_6","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642
"X1351_1946","X1351_1946","SRR13801012","BLM_BOGR_7",7,"BLM","BLM_BOGR","BLM.7","BOGR","BOGR_7","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642
